#options: 2560x1440 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2243 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:122 out:124 type:b dur:2 cpbdur:2 q:34.51 aq:38.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:124 out:125 type:b dur:2 cpbdur:2 q:34.07 aq:38.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:129 out:126 type:P dur:2 cpbdur:2 q:33.02 aq:23.94 tex:340456 mv:1286 misc:12346 imb:0 pmb:5089 smb:9311 d:- ref:0 ;
in:127 out:127 type:B dur:2 cpbdur:2 q:33.43 aq:35.00 tex:42 mv:61 misc:689 imb:0 pmb:14 smb:14386 d:- ref:0 ;
in:126 out:128 type:b dur:2 cpbdur:2 q:33.64 aq:37.00 tex:2 mv:15 misc:647 imb:0 pmb:3 smb:14397 d:- ref:0 ;
in:128 out:129 type:b dur:2 cpbdur:2 q:33.23 aq:37.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:133 out:130 type:P dur:2 cpbdur:2 q:32.12 aq:23.26 tex:654365 mv:1786 misc:13153 imb:0 pmb:8182 smb:6218 d:- ref:0 ;
in:131 out:131 type:B dur:2 cpbdur:2 q:32.57 aq:34.00 tex:43 mv:42 misc:683 imb:0 pmb:11 smb:14389 d:- ref:0 ;
in:130 out:132 type:b dur:2 cpbdur:2 q:32.79 aq:36.00 tex:1 mv:21 misc:658 imb:0 pmb:9 smb:14391 d:- ref:0 ;
in:132 out:133 type:b dur:2 cpbdur:2 q:32.35 aq:36.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
